,t,x,y,z,e,label
237,2021-02-18 03:54:00,550066.13,4432596.2,930.78,8292.59,0
238,2021-02-18 04:17:00,550103.95,4432669.83,911.52,7292.13,0
239,2021-02-18 05:12:00,550067.93,4432513.5,908.77,30448.48,1
240,2021-02-18 08:34:00,550071.99,4432757.74,920.31,16350.55,1
241,2021-02-18 14:33:00,550122.63,4432690.22,905.06,24423.58,1
242,2021-02-18 20:51:00,550088.51,4432726.45,912.22,24238.58,1
243,2021-02-19 02:27:00,550076.65,4432719.86,912.62,11532.94,0
244,2021-02-19 02:43:00,550060.87,4432531.69,910.88,6421.47,0
245,2021-02-19 04:44:00,550067.95,4432557.96,904.84,11206.48,0
246,2021-02-19 05:16:00,550110.47,4432552.56,911,6753.68,0
247,2021-02-19 09:12:00,550030.04,4432714.26,899.06,6073.68,0
248,2021-02-19 15:42:00,550033.32,4432636.62,906.11,6537.38,0
249,2021-02-19 19:34:00,549991.23,4432559.53,914.42,9869.46,0
250,2021-02-20 03:49:00,550004.03,4432709.5,918.14,10863.94,0
251,2021-02-20 04:32:00,550031.19,4432703.08,905.08,8159.08,0
252,2021-02-20 10:02:00,550052.9,4432635.74,906.35,13330.25,0
253,2021-02-20 15:00:00,550017.86,4432708.63,905.52,7798.46,0
254,2021-02-20 15:46:00,550036.74,4432672.18,909.12,18308.67,1
255,2021-02-20 19:19:00,550494.82,4432756.91,909.89,16254.29,1
256,2021-02-21 04:13:00,550038.37,4432716.47,899.62,15797.58,1
257,2021-02-21 04:50:00,550043.18,4432697.24,908.19,10154.5,0
258,2021-02-21 05:31:00,549959.95,4432815.04,914.6,4990.59,0
259,2021-02-21 07:00:00,550007.63,4432720.54,904.58,24299,1
260,2021-02-21 08:52:00,550102.25,4432668.32,911.01,4732.02,0
261,2021-02-21 16:31:00,550055.19,4432581.84,911.63,15459.18,0
262,2021-02-22 13:02:00,550017.53,4432594.52,924.93,4377.79,0
263,2021-02-22 13:50:00,550044.6,4432607.34,903.89,5427.57,0
264,2021-02-22 14:13:00,550329.21,4432647.68,899.64,5106.3,0
265,2021-02-23 00:24:00,550043.68,4432583.04,905.23,4997.5,0
266,2021-02-23 03:27:00,550049.33,4432685.78,900.67,8993.16,0
267,2021-02-23 23:51:00,550061.6,4432563.49,910.43,5561.81,0
268,2021-02-24 01:54:00,550075.29,4432768.53,911.02,14621.03,0
269,2021-02-24 05:41:00,550051.04,4432681.61,903.57,7626.94,0
270,2021-02-24 15:01:00,550115.62,4432665.74,908.49,6144.76,0
271,2021-02-24 15:24:00,550032.65,4432690.13,911.43,7495.13,0
272,2021-02-24 15:44:00,549951.01,4432777.12,928.69,7133.1,0
273,2021-02-24 15:55:00,550042.39,4432753.38,910.17,5995.43,0
274,2021-02-25 05:16:00,549988.29,4432710.16,903.38,5800.09,0
275,2021-02-25 07:18:00,550041.38,4432541.09,910.45,27604.88,1
276,2021-02-25 07:46:00,550004.61,4432518.45,911.9,7749.34,0
277,2021-02-25 11:45:00,550057.18,4432569.22,910.96,12096.98,0
278,2021-02-26 05:25:00,550065.63,4432567.69,909.78,6993.85,0
279,2021-02-26 06:52:00,550411.73,4432726.09,913.21,21839.75,1
